Артикул,Название товара,Ссылка,Цена,Цена со скидкой,Бренд
132379,"Сыр плавленый Карат Волна 45%, 90г",https://online.metro-cc.ru/products/syr-plavlennyy-45-karat-volna-brusok-90g-bzmzh,53.9,0,КАРАТ
483601,"Сыр Galbani Буррата mini мягкий 50%, 125г",https://online.metro-cc.ru/products/burrata-galbani-mini-125g-bzmzh,359,349,GALBANI
666855,"Сыр Galbani Страчателла, 250г",https://online.metro-cc.ru/products/galbani-strachatella-250g,559,0,GALBANI
203756,"Сыр Viola Маасдам полутвердый нарезка 45%, 120г",https://online.metro-cc.ru/products/120g-syr-45-viola-maasdam-narezka-bzmzh,223,0,VIOLA
255120,"METRO Chef Сыр российский сливочный 45%, ~3кг",https://online.metro-cc.ru/products/3kg-syr-rossiyskiy-45-metro-chef-slivochnyy-bzmzh,2667,0,METRO CHEF
339785,"Продукт рассольный Сиртаки Original комбинированный для греческого салата 55%, 200г",https://online.metro-cc.ru/products/produkt-sirtaki-kombinirovannyj-smeshannogo-sostava-dlya-grecheskogo-salata-200g-bzmzh,155,0,СИРТАКИ
650352,"Сыр Le Superbe Grand Maurice полутвердый 45%, ~1.5кг",https://online.metro-cc.ru/products/gran-moris-lesuperb-15kg-bzmzh,5698.5,4948.5,LE SUPERBE
591774,"Сыр Le Superbe Sbrinz твердый 47%, ~1.4кг",https://online.metro-cc.ru/products/lustenberger-sbrinz-14kg-bzmzh,6578.6,0,LE SUPERBE
247661,"Сыр Радость вкуса Львиное сердце полутвердый 45%, 180г",https://online.metro-cc.ru/products/180g-syr-45-radost-vkusa-lvinoe-serdtse-bzmzh,219,199,РАДОСТЬ ВКУСА
61548,"Сыр President Бри мягкий 60%, 125г",https://online.metro-cc.ru/products/art-61548,399,0,PRESIDENT
653646,"METRO Chef Сыр сулугуни 45%, ~600г",https://online.metro-cc.ru/products/suluguni-45-metro-chef-vesovoj,659.4,0,METRO CHEF
277070,"Сыр плавленый President Сливочный в ломтиках, 150г",https://online.metro-cc.ru/products/president-master-buterbrodov-slivochnyj-150g-bzmzh,143,0,PRESIDENT
382571,"Сыр творожный Hochland с зеленью 60%, 140г",https://online.metro-cc.ru/products/hochland-s-zelenyu-140g-bzmzh,162,0,HOCHLAND
221860,"METRO Chef Сыр тильзитер кусок 45%, 200г",https://online.metro-cc.ru/products/200g-syr-tilziter-45-metro-chef-kusok-bzmzh,204,0,METRO CHEF
593263,"Сыр President Бри мягкий с белой плесенью 60%, 200г",https://online.metro-cc.ru/products/bri-president-myagkij-s-beloj-60-200-g-bzmzh,579,469,PRESIDENT
109864,"Сыр Карлов двор со вкусом козьего молока полутвердый 45%, ~1.6кг",https://online.metro-cc.ru/products/karlov-dvor-45-16kg,2398.4,0,КАРЛОВ ДВОР
319688,"Сыр Предгорье Кавказа Адыгейский, ~1.2кг",https://online.metro-cc.ru/products/adygejskij-predgorye-800g-bzmzh,1296.9,0,ПРЕДГОРЬЕ КАВКАЗА
639498,"Сыр Le Superbe Grand Maurice твердый 45%, 150г",https://online.metro-cc.ru/products/le-superbe-grand-maurice-150g-bzmzh,579,499,LE SUPERBE
213553,"Сыр творожный Natura Pro Сливочный 65%, 2кг",https://online.metro-cc.ru/products/2kg-syr-myagkiy-65-natura-pro-slivochnyy-bzmzh,1349,1289,NATURA PRO
135333,"METRO Chef Сыр адыгейский 45%, ~650г",https://online.metro-cc.ru/products/065kg-syr-45-metro-chef-adygeyskiy-bzmzh,629.85,0,METRO CHEF
621725,"METRO Chef Сыр Эдам 40%, ~1кг",https://online.metro-cc.ru/products/edam-metro-chef-40-brusok-1-kg,999,0,METRO CHEF
125895,"Сыр Le Superbe Swiss Alpine cow полутвердый 48%, 150г",https://online.metro-cc.ru/products/lesuperb-alpijskaya-korova-48-150g,639,499,LE SUPERBE
130364,"Сыр Тысяча озёр легкий полутвердый нарезка 15%, 125г",https://online.metro-cc.ru/products/125g-15-legkij-tysyacha-ozyor-nar-bzmzh,194,149,ТЫСЯЧА ОЗЁР
636240,"Сыр Cheese Gallery Пармезан 6 месяцев выдержки твердый 32%, ~1кг",https://online.metro-cc.ru/products/cheese-gallery-parmezan-1kg-bzmzh,1839,0,CHEESE GALLERY
36834,"Сыр Galbani Моцарелла Tris мягкий 45%, 375г",https://online.metro-cc.ru/products/mocarella-galbani-tris-375g-bzmzh,499,459,GALBANI
121162,"Сыр Natura сливочный легкий полутвердый 16%, 200г",https://online.metro-cc.ru/products/200g-30-natura-slivochnyj-legkij-bzmzh,284,0,NATURA
516247,"Сыр Dolce Granto Пармезан твердый 40%, ~200г",https://online.metro-cc.ru/products/dolce-parmezan-300g-bzmzh,463.8,359.8,DOLCE
573688,"Сыр плавленый Карат сливочный, 400г",https://online.metro-cc.ru/products/karat-slivochnyj-400g-bzmzh,274,0,КАРАТ
404662,"Сыр Pirpacchi Пармезан тертый твердый 32%, 500г",https://online.metro-cc.ru/products/parmezan-pirpacchi-tertyj-38-500g-bzmzh,1299,0,PIRPACCHI
255028,"Сыр творожный Servolux Professional 70%, 11кг",https://online.metro-cc.ru/products/11kg-syr-tvorozhnyy-70-servolux-professional-bzmzh,5149,0,SERVOLUX PROFESSIONAL
